MO,Solubles,Hemicellulose,Cellulose,Lignine,C:N,C:P
Cendre d'eucalyptus,43.1826337342277,16.9280186743092,19.1151484841547,20.7741991073084,132.25,1.6246274337843
Cendre de balle de riz,8.13665819107491,0.959994900504924,85.9483971240634,4.95494978435677,16.4947916666667,25.474015937092
Cendre du Moyen Ouest,6.09887649639865,2.0144496421413,90.9974422365635,0.889231624896586,4.5,0.891136809044582
Compost LRI,29.8364216833989,7.27490990231502,40.9527871904596,21.9358812238265,15,154.736842105263
Mada Compost,26.66,4.72055591471008,55.1900160001046,13.4294280851854,12.2505526897568,35.0267735344319
Corne de zebu,3.9473969344188,2.72236038026125,11.1586879739389,82.171554711381,2.97096399535424,389.822442254409
Fientes de volailles,59.8871750897615,12.7396266535182,19.5522844690858,7.82091378763456,14.1232227488152,19.2258064516129
Fumier ameliore,31.0895617806729,0.508699679951675,52.5355207768518,15.8662177625236,11.4603854389722,72.3912541080781
Fumier traditionnel Itasy,15.7299428023237,4.66055663738207,70.6288753502025,8.98062521009167,18.8259109311741,20.4587206355372
Guanomad,82.1949411258854,9.61636928437724,7.75770592711947,0.430983662617897,3.54531001589825,0.651363254706597
Hyperfos,18.2885725210108,44.8962057745675,34.8473702101989,1.96785149422276,9.13513513513514,0.0407954396849455
Poudrettes de parc,13.7930927584194,11.4299282299956,56.2040227295823,18.5729562820027,13.6104651162791,89.2125787554409
Taroka,29.6135631647492,7.41116264468481,50.7616279542194,12.2136462363466,17.4487804878049,18.7061666579559
Terreau d'Andralanitra,29.2062293225309,1.69377067746912,59.5245273533995,9.57547264660049,18.8846153846154,30.3751238634526
Vermicompost moyen,22.8294844998704,11.5236839904653,47.3310296266382,18.3158018830261,13.4870109820469,61.4235644143695
Crotalaire,44.528615186857,15.1967902566055,32.1490184617972,8.12557609474024,19.98,
Dolique,34.0758665928837,16.1190303859977,36.5620000684612,13.2431029526574,23.86,
Eucalyptus,54.8710002166968,8.28115833811815,12.2583591183819,24.5894823268031,61.26,
Mais,21.4365214814363,28.5119071122194,39.0812138460746,10.9703575602696,99.31,
Banane,30.0188700976154,19.5144510083978,27.4556857172288,23.010993176758,,
Bozaka,19.9347599729034,25.0466673442173,43.8325353908242,11.1860372920551,,
Riz,20.0009893585975,31.661345434698,44.6303841018663,3.70728110483825,,
